Time_ns,Sine_Out,Sine_Out_Normalized
2665000,-7962,-0.242981
2675000,-9896,-0.302002
2685000,-11793,-0.359894
2695000,-13645,-0.416412
2705000,-15446,-0.471375
2715000,-17530,-0.534973
2725000,-19195,-0.585785
2735000,-20787,-0.634369
2745000,-22301,-0.680573
2755000,-23731,-0.724213
2765000,-25072,-0.765137
2775000,-26319,-0.803192
2785000,-27466,-0.838196
2795000,-28706,-0.876038
2805000,-29621,-0.903961
2815000,-30424,-0.928467
2825000,-31113,-0.949493
2835000,-31685,-0.966949
2845000,-32137,-0.980743
2855000,-32469,-0.990875
2865000,-32678,-0.997253
2875000,-32765,-0.999908
2885000,-32678,-0.997253
2895000,-32469,-0.990875
2905000,-32137,-0.980743
2915000,-31685,-0.966949
2925000,-31113,-0.949493
2935000,-30424,-0.928467
2945000,-29621,-0.903961
2955000,-28706,-0.876038
2965000,-27466,-0.838196
2975000,-26319,-0.803192
2985000,-25072,-0.765137
2995000,-23731,-0.724213
3005000,-22301,-0.680573
3015000,-20787,-0.634369
3025000,-19195,-0.585785
3035000,-17530,-0.534973
3045000,-15446,-0.471375
3055000,-13645,-0.416412
3065000,-11793,-0.359894
3075000,-9896,-0.302002
3085000,-7962,-0.242981
3095000,-5998,-0.183044
3105000,-4011,-0.122406
3115000,-2009,-0.061310
3125000,0,0.000000
3135000,2009,0.061310
3145000,4011,0.122406
3155000,5998,0.183044
3165000,7962,0.242981
3175000,9896,0.302002
3185000,11793,0.359894
3195000,13645,0.416412
3205000,15446,0.471375
3215000,17530,0.534973
3225000,19195,0.585785
3235000,20787,0.634369
3245000,22301,0.680573
3255000,23731,0.724213
3265000,25072,0.765137
3275000,26319,0.803192
3285000,27466,0.838196
3295000,28706,0.876038
3305000,29621,0.903961
3315000,30424,0.928467
3325000,31113,0.949493
3335000,31685,0.966949
3345000,32137,0.980743
3355000,32469,0.990875
3365000,32678,0.997253
3375000,32765,0.999908
3385000,32678,0.997253
3395000,32469,0.990875
3405000,32137,0.980743
3415000,31685,0.966949
3425000,31113,0.949493
3435000,30424,0.928467
3445000,29621,0.903961
3455000,28706,0.876038
3465000,27466,0.838196
3475000,26319,0.803192
3485000,25072,0.765137
3495000,23731,0.724213
3505000,22301,0.680573
3515000,20787,0.634369
3525000,19195,0.585785
3535000,17530,0.534973
3545000,15446,0.471375
3555000,13645,0.416412
3565000,11793,0.359894
3575000,9896,0.302002
3585000,7962,0.242981
3595000,5998,0.183044
3605000,4011,0.122406
3615000,2009,0.061310
3625000,0,0.000000
3635000,-2009,-0.061310
3645000,-4011,-0.122406
3655000,-5998,-0.183044
3665000,-7962,-0.242981
3675000,-9896,-0.302002
3685000,-11793,-0.359894
3695000,-13645,-0.416412
3705000,-15446,-0.471375
3715000,-17530,-0.534973
3725000,-19195,-0.585785
3735000,-20787,-0.634369
3745000,-22301,-0.680573
3755000,-23731,-0.724213
3765000,-25072,-0.765137
3775000,-26319,-0.803192
3785000,-27466,-0.838196
3795000,-28706,-0.876038
3805000,-29621,-0.903961
3815000,-30424,-0.928467
3825000,-31113,-0.949493
3835000,-31685,-0.966949
3845000,-32137,-0.980743
3855000,-32469,-0.990875
3865000,-32678,-0.997253
3875000,-32765,-0.999908
3885000,-32678,-0.997253
3895000,-32469,-0.990875
3905000,-32137,-0.980743
3915000,-31685,-0.966949
3925000,-31113,-0.949493
3935000,-30424,-0.928467
3945000,-29621,-0.903961
3955000,-28706,-0.876038
3965000,-27466,-0.838196
3975000,-26319,-0.803192
3985000,-25072,-0.765137
3995000,-23731,-0.724213
4005000,-22301,-0.680573
4015000,-20787,-0.634369
4025000,-19195,-0.585785
4035000,-17530,-0.534973
4045000,-15446,-0.471375
4055000,-13645,-0.416412
4065000,-11793,-0.359894
4075000,-9896,-0.302002
4085000,-7962,-0.242981
4095000,-5998,-0.183044
4105000,-4011,-0.122406
4115000,-2009,-0.061310
4125000,0,0.000000
4135000,2009,0.061310
4145000,4011,0.122406
4155000,5998,0.183044
4165000,7962,0.242981
4175000,9896,0.302002
4185000,11793,0.359894
4195000,13645,0.416412
4205000,15446,0.471375
4215000,17530,0.534973
4225000,19195,0.585785
4235000,20787,0.634369
4245000,22301,0.680573
4255000,23731,0.724213
4265000,25072,0.765137
4275000,26319,0.803192
4285000,27466,0.838196
4295000,28706,0.876038
4305000,29621,0.903961
4315000,30424,0.928467
4325000,31113,0.949493
4335000,31685,0.966949
4345000,32137,0.980743
4355000,32469,0.990875
4365000,32678,0.997253
4375000,32765,0.999908
4385000,32678,0.997253
4395000,32469,0.990875
4405000,32137,0.980743
4415000,31685,0.966949
4425000,31113,0.949493
4435000,30424,0.928467
4445000,29621,0.903961
4455000,28706,0.876038
4465000,27466,0.838196
4475000,26319,0.803192
